"Mental Condition","Symptoms","Recommended Treatments","Medications","Dosage","Advanced Remedies"
"Anorexia Nervosa","extreme restrictive eating; low body weight; fear of gaining weight; distorted body image [ICD-10: F50.0, ICD-11: 6B80.Z, DSM-5: 307.1]","Nutritional rehabilitation (weight restoration); Family-Based Therapy (FBT) for adolescents - 12-20 sessions; Cognitive Behavioral Therapy (CBT-E) - 40 sessions; Medical monitoring; Medication for comorbid anxiety/depression","None Typically; Olanzapine 5mg (Rx - Olanex, Oferta, Oladay - for weight gain/anxiety)","Olanzapine (off-label): 2.5-10mg daily (initial 2.5mg, increase slowly; max 10mg; monitor weight/blood sugar)","[Gita, Ch 5, V 29] Knowing Me as the ultimate recipient... and the benefactor and well-wisher of all living entities, the peace from the pangs of material miseries is achieved. Insight: Trust in a benevolent cosmic order (Well-wisher) to reduce the need for self-starvation as a form of control."
"Anorexia Nervosa","extreme restrictive eating; low body weight; fear of gaining weight; distorted body image [ICD-10: F50.0, ICD-11: 6B80.Z, DSM-5: 307.1]","Nutritional rehabilitation (weight restoration); Family-Based Therapy (FBT) for adolescents - 12-20 sessions; Cognitive Behavioral Therapy (CBT-E) - 40 sessions; Medical monitoring; Medication for comorbid anxiety/depression","None Typically; Olanzapine 5mg (Rx - Olanex, Oferta, Oladay - for weight gain/anxiety)","Olanzapine (off-label): 2.5-10mg daily (initial 2.5mg, increase slowly; max 10mg; monitor weight/blood sugar)","[Gita, Ch 17, V 14] Austerity of the body consists in worship... and non-violence. Insight: Extreme restriction is self-violence. The practice is non-violence (Ahimsa) and compassionate self-care toward the body."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 16, V 7] Demoniac persons do not know what is to be done and what is not to be done. Neither cleanliness nor proper behavior nor truth is found in them. Insight: Antisocial behavior is a failure to recognize moral duty (Dharma) and truth (Satya)."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 18, V 31] That intelligence which cannot distinguish between religion and irreligion, action and forbidden action, is in the mode of passion. Insight: Manipulation and disregard for others is Rajasic (passionate) intelligence; the goal is to develop Sattvic (goodness) intelligence (Buddhi) to distinguish right from wrong."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 3, V 37] It is lust only, which is born of contact with the material mode of passion and later transformed into wrath. Insight: Antisocial behavior is often rooted in the unfulfilled desire (lust/Kama) for control or gratification."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 17, V 14] Austerity of the body consists in worship of the Supreme Lord... and cleanliness, simplicity, and non-violence. Insight: Non-violence (Ahimsa) and truthfulness (Satya) are foundational disciplines (Tapas) that must be cultivated to counter aggressive tendencies."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 5, V 29] Knowing Me as the ultimate recipient... and the benefactor and well-wisher of all living entities, the peace from the pangs of material miseries is achieved. Insight: Practice 'wishing well' to all (Benevolence) to overcome the lack of empathy and remorse."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 1, V 40] With the destruction of the dynasty, the eternal family tradition is lost. Insight: Recognizing that destructive acts eventually harm the self and the social structure that sustains one."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 18, V 42] The qualities of serenity, self-control, austerity, purity, tolerance, honesty, knowledge, and religiousness—these are the qualities of work for the brahmanas, born of their own nature. Insight: Cultivate honesty (Arjavam) and self-control (Dama) as fundamental moral duties (Dharma)."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 16, V 23] He who discards scriptural injunctions and acts according to his own whims attains neither perfection nor happiness nor the supreme destination. Insight: Discarding moral injunctions (deceitfulness, manipulation) leads to misery. Adhere to strict moral boundaries."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 17, V 15] Austerity of speech consists in speaking words that are truthful, pleasing, beneficial, and not agitating to others. Insight: Practice truthful (Satya) and non-agitating (Anudvega-karam) speech to overcome deceit and harshness."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 1, V 40] With the destruction of the dynasty, the eternal family tradition is lost. Insight: Recognizing the inevitable self-destruction (loss) that results from continuous harm to others/society."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 16, V 7] Demoniac persons do not know what is to be done and what is not to be done. Neither cleanliness nor proper behavior nor truth is found in them. Insight: The entire focus is on teaching proper behavior (Achara) and truth (Satya), which the anti-social mind rejects."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 12, V 13] One who is not envious but is a kind friend to all living entities. Insight: Cultivate *Maitri* (unconditional kindness/friendship) and *Karuna* (compassion), the direct opposite of disregard and lack of remorse."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 3, V 37] It is lust only... which is the all-devouring sinful enemy of this world. Insight: Impulsive, manipulative acts are driven by insatiable lust (Kama). Develop emotional regulation to stop the impulse."
"Antisocial Personality Disorder","disregard for others' rights; lack of remorse; manipulation; impulsivity; deceitfulness [ICD-10: F60.2, ICD-11: 6D11.0, DSM-5: 301.7]","Cognitive Behavioral Therapy (CBT) - long-term; Group therapy; Therapeutic community; Mentalization-Based Treatment (MBT); Medication for aggression/impulsivity","None Typically; Valproate 500mg (Rx - Valparin, Encorate, Valance - for aggression); Mood stabilizers","Valproate (if needed): 500-2000mg daily (initial 500mg daily, increase by 250mg every 3 days; monitor levels 50-100 mcg/mL)","[Gita, Ch 18, V 31] That intelligence which cannot distinguish between religion and irreligion, action and forbidden action, is in the mode of passion. Insight: Manipulation is Rajasic (passionate) intelligence. Cultivate Sattvic (goodness) intelligence to clearly distinguish right from wrong."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 2, V 40] In this endeavor there is no loss or diminution, and a little advancement can protect one from the most dangerous type of fear. Insight: Even small steps towards calmness or spirituality protect you from great fear."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 6, V 34] The mind is restless, turbulent, obstinate and very strong, O Krishna. Insight: Acknowledge that a restless mind is natural. Don't judge yourself for feeling anxious, but prepare to manage it."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 6, V 35] It is possible to curb the restless mind by suitable practice and by detachment. Insight: Consistent practice (Abhyasa) of mindfulness and non-attachment (Vairagya) can steady the anxious mind."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 2, V 56] One whose mind is not disturbed in spite of the threefold miseries. Insight: Aim for mental equilibrium (Sthita-prajna). Anxiety is a disturbance; return to the center through breath."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 5, V 29] Knowing Me as the ultimate recipient of all sacrifices and austerities, the Supreme Lord of all planets and demigods, and the benefactor and well-wisher of all living entities, the peace from the pangs of material miseries is achieved. Insight: Trust in a benevolent cosmic order releases the personal burden of controlling every outcome."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 18, V 61] The Supreme Lord is situated in everyone's heart...directing the wanderings of all living entities. Insight: You are not in control of everything, but you are not alone. There is divine guidance within."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 4, V 14] There is no work that affects Me. Nor do I aspire for the fruits of action. Insight: Practice non-attachment (Naishkarmya) to the results of your actions. This is the root of freedom from worry."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 3, V 37] It is lust only, which is born of contact with the material mode of passion and later transformed into wrath, and which is the all-devouring sinful enemy of this world. Insight: Anxiety often stems from the passionate desire (Kama) for a specific outcome. Release the desire."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 14, V 6] The mode of goodness, being purer than the others, is illuminating and healthy. Insight: Anxiety is fueled by the mode of Passion (Rajas). Cultivating goodness (Sattva) through peaceful habits calms the mind."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 11, V 23] When I see your many forms, with eyes and mouths, arms and legs, I am greatly fearful. Insight: Acknowledging that overwhelming reality (like the universal form) can cause intense fear (Vibhisha). This normalizes the feeling of being overwhelmed."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 17, V 14] Austerity of the body consists in worship of the Supreme Lord, the brahmanas, the spiritual master, and superiors like the father and mother, and cleanliness, simplicity, and non-violence. Insight: Simple acts of physical and mental purity and reverence (Tapas) reduce stress and anxiety."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 7, V 14] This divine energy of Mine, consisting of the three modes of material nature, is difficult to overcome. But those who have surrendered unto Me can easily cross beyond it. Insight: Surrendering the constant battle to control the mind and its modes brings immediate relief."
"Anxiety","worry; restlessness; nervousness; panic; fear [ICD-10: F41.1, ICD-11: 6B00, DSM-5: 300.02]","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy","Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use)","","Mindfulness-Based Stress Reduction (MBSR) - 8-week program; Cognitive Behavioral Therapy (CBT) with exposure; Deep Breathing Exercises (4-7-8 technique); Progressive Muscle Relaxation; Acceptance and Commitment Therapy (ACT); Biofeedback; Yoga therapy, Buspirone 10mg (Rx - Buspin, Buscalm, Sertin); Clonazepam 0.5mg (Rx - Clonapax, Epitril - short-term use), Buspirone: 10-30mg twice daily (initial 10mg, max 60mg/day; response 2-4 weeks); Clonazepam: 0.25-0.5mg twice daily (short-term only, 2-4 weeks; taper to discontinue), [Gita, Ch 10, V 8] I am the source of all spiritual and material worlds. Everything emanates from Me. Insight: Recognizing a single source for everything simplifies reality and reduces anxiety about complexity."
